order_id,customer_id,order_date,amount,category,city,payment_method
ORD_000001,CUST_00913,2023-01-26,1173.17,Beauty,Bangalore,Card
ORD_000002,CUST_01144,2023-04-15,7525.3,Groceries,Chennai,Net Banking
ORD_000003,CUST_00261,2023-01-31,3291.86,Fashion,Bangalore,Card
ORD_000004,CUST_04140,2024-09-08,2282.36,Fashion,Delhi,Card
ORD_000005,CUST_04465,2024-03-05,424.06,Electronics,Mumbai,COD
ORD_000006,CUST_00054,2023-06-13,423.99,Home,Hyderabad,COD
ORD_000007,CUST_01274,2023-08-09,149.6,Beauty,Chennai,UPI
ORD_000008,CUST_03113,2023-04-10,5028.08,Beauty,Hyderabad,COD
ORD_000009,CUST_00356,2024-04-15,2297.71,Groceries,Chennai,Net Banking
ORD_000010,CUST_00646,2024-07-19,3078.13,Beauty,Delhi,COD
ORD_000011,CUST_04730,2023-07-16,52.0,Fashion,Chennai,Card
ORD_000012,CUST_02371,2023-03-23,8758.89,Electronics,Chennai,Net Banking
ORD_000013,CUST_02278,2024-04-09,4466.07,Beauty,Bangalore,COD
ORD_000014,CUST_02911,2023-08-03,596.72,Beauty,Chennai,Card
ORD_000015,CUST_04376,2023-09-08,501.7,Electronics,Mumbai,Net Banking
ORD_000016,CUST_02212,2024-10-17,506.53,Groceries,Bangalore,COD
ORD_000017,CUST_00459,2023-08-23,906.88,Fashion,Hyderabad,Net Banking
ORD_000018,CUST_02194,2023-03-09,1859.82,Electronics,Delhi,COD
ORD_000019,CUST_01742,2024-11-02,1413.84,Home,Mumbai,Net Banking
ORD_000020,CUST_01171,2023-09-29,860.56,Electronics,Bangalore,COD
ORD_000021,CUST_04789,2024-03-14,2365.93,Groceries,Mumbai,COD
ORD_000022,CUST_01797,2023-05-22,375.59,Groceries,Mumbai,UPI
ORD_000023,CUST_00386,2023-04-23,863.79,Electronics,Bangalore,Net Banking
ORD_000024,CUST_04886,2023-03-07,1140.69,Home,Mumbai,Net Banking
ORD_000025,CUST_04335,2023-09-15,1522.34,Groceries,Chennai,UPI
ORD_000026,CUST_04399,2023-10-01,3844.84,Beauty,Chennai,COD
ORD_000027,CUST_03562,2023-06-11,556.84,Home,Chennai,COD
ORD_000028,CUST_04101,2023-07-02,1805.07,Groceries,Chennai,COD
ORD_000029,CUST_04159,2024-09-15,2243.76,Electronics,Bangalore,COD
ORD_000030,CUST_01324,2024-07-06,118.91,Groceries,Chennai,COD
ORD_000031,CUST_04003,2023-01-20,2338.33,Fashion,Hyderabad,COD
ORD_000032,CUST_01962,2023-03-01,467.4,Electronics,Delhi,UPI
ORD_000033,CUST_00702,2024-05-12,168.16,Fashion,Delhi,Card
ORD_000034,CUST_01052,2024-11-06,7434.22,Home,Delhi,Card
ORD_000035,CUST_02172,2024-06-24,8426.58,Groceries,Mumbai,Card
ORD_000036,CUST_04418,2024-12-07,4130.83,Electronics,Hyderabad,Net Banking
ORD_000037,CUST_03060,2024-03-24,908.22,Groceries,Mumbai,UPI
ORD_000038,CUST_02031,2023-08-19,256.94,Fashion,Hyderabad,UPI
ORD_000039,CUST_04820,2024-07-21,2881.88,Electronics,Delhi,Card
ORD_000040,CUST_00059,2023-03-14,1450.23,Fashion,Bangalore,UPI
ORD_000041,CUST_00258,2023-12-05,325.38,Fashion,Delhi,Card
ORD_000042,CUST_02282,2024-11-16,1708.87,Home,Bangalore,Card
ORD_000043,CUST_04678,2024-08-13,87.48,Home,Bangalore,Net Banking
ORD_000044,CUST_03335,2023-07-14,6001.06,Fashion,Chennai,Net Banking
ORD_000045,CUST_02903,2024-03-09,748.64,Home,Mumbai,UPI
ORD_000046,CUST_00807,2023-03-04,2715.64,Home,Hyderabad,UPI
ORD_000047,CUST_02037,2023-07-16,933.87,Electronics,Delhi,Net Banking
ORD_000048,CUST_01149,2024-03-08,1835.28,Electronics,Hyderabad,Net Banking
ORD_000049,CUST_02047,2023-03-19,1978.06,Home,Delhi,UPI
ORD_000050,CUST_00415,2024-10-29,510.97,Groceries,Chennai,UPI
ORD_000051,CUST_01937,2023-06-20,8732.02,Home,Mumbai,Net Banking
ORD_000052,CUST_01752,2024-02-15,3730.61,Fashion,Bangalore,Net Banking
ORD_000053,CUST_00018,2024-02-04,7012.74,Beauty,Mumbai,COD
ORD_000054,CUST_03466,2024-12-14,5630.38,Groceries,Mumbai,Card
ORD_000055,CUST_01556,2023-10-31,2277.64,Electronics,Chennai,UPI
ORD_000056,CUST_02570,2023-02-28,6373.59,Fashion,Delhi,Net Banking
ORD_000057,CUST_04120,2024-06-27,231.64,Electronics,Chennai,UPI
ORD_000058,CUST_01523,2023-03-12,545.34,Groceries,Chennai,Card
ORD_000059,CUST_03308,2023-05-03,115.7,Groceries,Bangalore,UPI
ORD_000060,CUST_00672,2024-03-05,983.83,Groceries,Delhi,COD
ORD_000061,CUST_02137,2023-07-29,1230.33,Beauty,Bangalore,COD
ORD_000062,CUST_03243,2023-05-15,791.4,Beauty,Mumbai,COD
ORD_000063,CUST_00595,2023-01-10,4411.39,Home,Delhi,UPI
ORD_000064,CUST_00601,2024-07-04,1103.07,Electronics,Delhi,COD
ORD_000065,CUST_01086,2023-12-24,824.51,Fashion,Bangalore,COD
ORD_000066,CUST_02335,2023-06-11,1956.02,Home,Delhi,COD
ORD_000067,CUST_04334,2023-01-09,379.75,Groceries,Hyderabad,UPI
ORD_000068,CUST_01101,2023-09-28,4051.21,Fashion,Chennai,Card
ORD_000069,CUST_02232,2023-10-16,193.69,Groceries,Bangalore,COD
ORD_000070,CUST_01668,2024-12-04,10835.37,Beauty,Delhi,Net Banking
ORD_000071,CUST_02058,2023-02-22,3698.71,Fashion,Mumbai,COD
ORD_000072,CUST_00362,2023-01-04,553.85,Beauty,Bangalore,COD
ORD_000073,CUST_01324,2024-03-28,13.84,Groceries,Mumbai,UPI
ORD_000074,CUST_00917,2023-03-19,4224.74,Electronics,Delhi,UPI
ORD_000075,CUST_03025,2024-08-19,3067.74,Groceries,Bangalore,Net Banking
ORD_000076,CUST_01045,2023-02-12,3264.16,Beauty,Hyderabad,UPI
ORD_000077,CUST_02932,2023-08-04,3688.04,Electronics,Chennai,COD
ORD_000078,CUST_04587,2024-02-21,192.32,Groceries,Bangalore,Card
ORD_000079,CUST_01332,2023-07-01,1109.73,Home,Chennai,Card
ORD_000080,CUST_02722,2024-02-26,307.88,Electronics,Hyderabad,Card
ORD_000081,CUST_00886,2024-01-27,4971.32,Fashion,Mumbai,Card
ORD_000082,CUST_01635,2024-04-16,2440.75,Beauty,Hyderabad,Card
ORD_000083,CUST_01827,2023-01-25,1004.55,Electronics,Mumbai,COD
ORD_000084,CUST_02283,2023-03-13,164.17,Beauty,Hyderabad,Net Banking
ORD_000085,CUST_04393,2023-12-06,931.22,Fashion,Chennai,COD
ORD_000086,CUST_01463,2024-08-17,983.29,Beauty,Chennai,UPI
ORD_000087,CUST_04888,2024-03-20,3269.69,Beauty,Hyderabad,Net Banking
ORD_000088,CUST_04967,2024-06-07,2537.22,Fashion,Mumbai,Card
ORD_000089,CUST_02087,2023-02-15,5455.63,Home,Chennai,Card
ORD_000090,CUST_02984,2024-03-17,1597.67,Fashion,Hyderabad,COD
ORD_000091,CUST_01021,2023-11-04,318.43,Groceries,Hyderabad,Net Banking
ORD_000092,CUST_02673,2024-02-17,3122.82,Beauty,Delhi,Card
ORD_000093,CUST_01572,2024-03-06,3575.98,Home,Bangalore,COD
ORD_000094,CUST_03327,2024-07-15,2059.72,Fashion,Hyderabad,COD
ORD_000095,CUST_01722,2024-03-16,3684.72,Groceries,Delhi,COD
ORD_000096,CUST_03810,2024-03-28,1702.04,Home,Bangalore,Net Banking
ORD_000097,CUST_01391,2024-11-05,1849.2,Fashion,Hyderabad,COD
ORD_000098,CUST_00766,2023-08-29,1394.54,Beauty,Bangalore,Card
ORD_000099,CUST_01208,2023-01-26,64.37,Fashion,Bangalore,Net Banking
ORD_000100,CUST_00597,2024-04-11,285.42,Home,Delhi,Card
ORD_000101,CUST_03146,2024-05-21,79.83,Home,Bangalore,Card
ORD_000102,CUST_00046,2023-04-20,2529.32,Home,Bangalore,Card
ORD_000103,CUST_04244,2024-04-20,943.49,Fashion,Delhi,Card
ORD_000104,CUST_00995,2024-04-12,1776.09,Electronics,Mumbai,COD
ORD_000105,CUST_03626,2024-09-19,5953.16,Groceries,Mumbai,Net Banking
ORD_000106,CUST_01304,2024-05-01,716.85,Home,Hyderabad,Card
ORD_000107,CUST_02272,2024-06-17,1320.7,Home,Bangalore,COD
ORD_000108,CUST_03604,2023-03-21,3521.87,Beauty,Bangalore,COD
ORD_000109,CUST_02752,2023-11-24,649.51,Groceries,Chennai,Card
ORD_000110,CUST_01236,2023-08-25,200.26,Home,Bangalore,Card
ORD_000111,CUST_00527,2024-02-29,855.35,Home,Hyderabad,Net Banking
ORD_000112,CUST_03407,2023-03-05,439.52,Electronics,Mumbai,Net Banking
