customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
CUST_00001,194,4,13691.09,2,3,4,234,At Risk
CUST_00002,32,3,5488.110000000001,5,2,2,522,Others
CUST_00003,74,3,5492.01,4,2,2,422,Others
CUST_00004,135,4,8992.2,3,3,3,333,Others
CUST_00005,180,4,10517.49,2,3,3,233,At Risk
CUST_00006,198,2,8989.74,2,1,3,213,Lost Customers
CUST_00008,99,4,9022.95,3,3,3,333,Others
CUST_00009,50,4,9403.14,4,3,3,433,Others
CUST_00010,23,2,2109.36,5,1,1,511,Others
CUST_00011,336,1,546.12,1,1,1,111,Lost Customers
CUST_00012,67,5,11485.57,4,4,4,444,Loyal Customers
CUST_00013,23,6,10973.27,5,4,4,544,Loyal Customers
CUST_00014,42,4,21341.45,4,3,5,435,Others
CUST_00015,13,5,12519.04,5,4,4,544,Loyal Customers
CUST_00016,131,4,3979.34,3,3,1,331,Others
CUST_00017,77,3,2467.91,4,2,1,421,Others
CUST_00018,101,6,24790.23,3,4,5,345,Others
CUST_00019,25,6,20724.61,5,4,5,545,Loyal Customers
CUST_00020,10,5,7739.530000000001,5,4,3,543,Loyal Customers
CUST_00021,271,2,8860.04,2,1,3,213,Lost Customers
CUST_00022,49,11,31549.97,4,5,5,455,Loyal Customers
CUST_00023,54,6,18630.41,4,4,5,445,Loyal Customers
CUST_00025,112,6,17434.309999999998,3,4,5,345,Others
CUST_00026,379,2,3620.25,1,1,1,111,Lost Customers
CUST_00027,6,8,13214.380000000001,5,5,4,554,Loyal Customers
CUST_00028,186,3,1876.26,2,2,1,221,Lost Customers
CUST_00029,155,5,6743.099999999999,3,4,2,342,Others
CUST_00030,443,3,10123.06,1,2,3,123,Lost Customers
CUST_00031,30,7,11296.54,5,5,4,554,Loyal Customers
CUST_00032,288,5,12799.49,1,4,4,144,At Risk
CUST_00033,230,3,19773.14,2,2,5,225,Lost Customers
CUST_00034,373,1,4961.95,1,1,2,112,Lost Customers
CUST_00035,69,6,10553.9,4,4,3,443,Loyal Customers
CUST_00036,29,9,11018.84,5,5,4,554,Loyal Customers
CUST_00037,10,6,13723.3,5,4,4,544,Loyal Customers
CUST_00038,91,3,2484.1800000000003,4,2,1,421,Others
CUST_00039,110,4,12998.289999999999,3,3,4,334,Others
CUST_00040,564,2,4380.31,1,1,2,112,Lost Customers
CUST_00041,92,6,25139.989999999998,3,4,5,345,Others
CUST_00042,291,2,2705.9700000000003,1,1,1,111,Lost Customers
CUST_00043,728,1,1877.94,1,1,1,111,Lost Customers
CUST_00044,163,6,24411.68,3,4,5,345,Others
CUST_00045,119,3,10243.0,3,2,3,323,Others
CUST_00046,457,3,5159.71,1,2,2,122,Lost Customers
CUST_00047,377,3,9969.939999999999,1,2,3,123,Lost Customers
CUST_00048,401,2,4759.2300000000005,1,1,2,112,Lost Customers
CUST_00049,392,2,6231.110000000001,1,1,2,112,Lost Customers
CUST_00050,127,1,5765.88,3,1,2,312,Others
CUST_00051,399,7,20871.77,1,5,5,155,At Risk
CUST_00052,24,9,30521.45,5,5,5,555,Champions
CUST_00053,230,8,29718.08,2,5,5,255,At Risk
CUST_00054,220,5,13199.82,2,4,4,244,At Risk
CUST_00055,144,4,7756.030000000001,3,3,3,333,Others
CUST_00056,435,3,6133.57,1,2,2,122,Lost Customers
CUST_00057,3,4,11029.380000000001,5,3,4,534,Others
CUST_00058,28,6,23940.79,5,4,5,545,Loyal Customers
CUST_00059,90,5,17599.36,4,4,5,445,Loyal Customers
CUST_00060,98,8,21761.61,3,5,5,355,Others
CUST_00061,409,5,9833.34,1,4,3,143,At Risk
CUST_00062,72,3,4908.1900000000005,4,2,2,422,Others
CUST_00063,55,7,20787.870000000003,4,5,5,455,Loyal Customers
CUST_00064,16,8,13078.71,5,5,4,554,Loyal Customers
CUST_00065,221,3,18913.27,2,2,5,225,Lost Customers
CUST_00066,328,2,9868.23,1,1,3,113,Lost Customers
CUST_00067,523,1,131.46,1,1,1,111,Lost Customers
CUST_00068,91,5,2788.69,4,4,1,441,Loyal Customers
CUST_00069,135,6,11500.07,3,4,4,344,Others
CUST_00070,112,5,10716.81,3,4,3,343,Others
CUST_00071,389,3,6042.37,1,2,2,122,Lost Customers
CUST_00072,8,5,21941.44,5,4,5,545,Loyal Customers
CUST_00073,157,4,3653.56,3,3,1,331,Others
CUST_00074,10,1,8485.66,5,1,3,513,Others
CUST_00075,113,5,13401.46,3,4,4,344,Others
CUST_00076,290,2,6669.13,1,1,2,112,Lost Customers
CUST_00077,255,5,11949.82,2,4,4,244,At Risk
CUST_00078,116,3,14792.449999999999,3,2,4,324,Others
CUST_00079,12,6,10191.61,5,4,3,543,Loyal Customers
CUST_00080,143,3,4556.92,3,2,2,322,Others
CUST_00081,292,3,15662.740000000002,1,2,5,125,Lost Customers
CUST_00082,384,2,4226.27,1,1,2,112,Lost Customers
CUST_00083,110,4,9872.92,3,3,3,333,Others
CUST_00084,42,4,10649.5,4,3,3,433,Others
CUST_00085,251,5,16869.49,2,4,5,245,At Risk
CUST_00086,5,4,20417.29,5,3,5,535,Others
CUST_00087,17,4,4038.22,5,3,1,531,Others
CUST_00088,236,7,8676.85,2,5,3,253,At Risk
CUST_00089,21,5,11728.400000000001,5,4,4,544,Loyal Customers
CUST_00090,362,4,2958.01,1,3,1,131,At Risk
CUST_00091,202,4,15164.29,2,3,4,234,At Risk
CUST_00092,8,5,11768.029999999999,5,4,4,544,Loyal Customers
CUST_00093,76,2,1715.75,4,1,1,411,Others
CUST_00094,32,2,4133.639999999999,5,1,2,512,Others
CUST_00095,82,5,18030.72,4,4,5,445,Loyal Customers
CUST_00096,73,2,3484.11,4,1,1,411,Others
CUST_00097,37,3,3202.46,5,2,1,521,Others
CUST_00098,108,6,8005.16,3,4,3,343,Others
CUST_00099,74,5,7851.68,4,4,3,443,Loyal Customers
CUST_00100,39,4,8713.25,4,3,3,433,Others
CUST_00101,262,5,16653.76,2,4,5,245,At Risk
CUST_00102,14,5,12341.74,5,4,4,544,Loyal Customers
CUST_00103,149,2,1444.37,3,1,1,311,Others
CUST_00104,7,6,10574.369999999999,5,4,3,543,Loyal Customers
CUST_00105,41,2,4340.04,4,1,2,412,Others
CUST_00106,481,5,7470.56,1,4,3,143,At Risk
CUST_00107,690,1,362.67,1,1,1,111,Lost Customers
CUST_00108,45,5,18088.26,4,4,5,445,Loyal Customers
CUST_00109,169,3,1973.5400000000002,2,2,1,221,Lost Customers
CUST_00110,306,1,1781.96,1,1,1,111,Lost Customers
CUST_00111,101,1,1660.78,3,1,1,311,Others
CUST_00112,452,3,4694.79,1,2,2,122,Lost Customers
CUST_00113,12,7,13258.050000000001,5,5,4,554,Loyal Customers
CUST_00114,536,2,12205.57,1,1,4,114,Lost Customers
CUST_00115,52,7,21120.46,4,5,5,455,Loyal Customers
CUST_00116,193,3,16866.940000000002,2,2,5,225,Lost Customers
CUST_00117,50,5,11818.37,4,4,4,444,Loyal Customers
CUST_00118,364,1,1098.78,1,1,1,111,Lost Customers
CUST_00119,101,8,19937.43,3,5,5,355,Others
CUST_00120,137,3,6009.5,3,2,2,322,Others
CUST_00121,145,6,16534.77,3,4,5,345,Others
CUST_00122,11,3,11671.57,5,2,4,524,Others
CUST_00123,45,8,33259.28,4,5,5,455,Loyal Customers
CUST_00125,64,4,9899.25,4,3,3,433,Others
